elapsed_s,total_sent_bytes,total_recv_bytes,delta_sent_bps,delta_recv_bps,delta_total_bps,delta_sent_gbps,delta_recv_gbps,delta_total_gbps,uploaded_bytes,uploaded_gbps_from_callback
11.017551,113739222894,1452316145036,91482939.978,98493528.909,189976468.887,0.091482940,0.098493529,0.189976469,28073328,0.100524680
11.267923,113742274080,1452319201247,97492893.489,97653454.592,195146348.081,0.097492893,0.097653455,0.195146348,30880252,0.089688122
11.518256,113742817605,1452322260849,17369705.587,97777261.312,115146966.899,0.017369706,0.097777261,0.115146967,30880252,0.000000000
11.768577,113742889466,1452325337056,2296598.042,98312171.736,100608769.778,0.002296598,0.098312172,0.100608770,30880252,0.000000000
12.018911,113745498024,1452328415195,83362382.488,98368907.523,181731290.011,0.083362382,0.098368908,0.181731290,34025980,0.100528867
12.269234,113748544449,1452331475184,97360068.605,97793557.685,195153626.289,0.097360069,0.097793558,0.195153626,36123132,0.067022448
12.519570,113748700608,1452334533486,4990375.446,97734201.725,102724577.171,0.004990375,0.097734202,0.102724577,36123132,0.000000000
12.769905,113748770332,1452337610103,2228178.729,98319840.463,100548019.192,0.002228179,0.098319840,0.100548019,36212083,0.002842618
13.020268,113751785678,1452340690082,96351462.200,98416725.707,194768187.907,0.096351462,0.098416726,0.194768188,39357811,0.100517650
13.270630,113754751716,1452343751134,94775772.551,97811817.691,192587590.242,0.094775773,0.097811818,0.192587590,41782882,0.077489896
13.521107,113754825730,1452346812808,2363943.506,97787234.429,100151177.935,0.002363944,0.097787234,0.100151178,41782882,0.000000000
13.771426,113754900989,1452349891320,2405213.675,98386626.997,100791840.672,0.002405214,0.098386627,0.100791841,41782882,0.000000000
14.021751,113754975025,1452352971373,2366073.322,98433616.538,100799689.860,0.002366073,0.098433617,0.100799690,42831458,0.033510829
14.272092,113758015954,1452356050207,97177279.642,98388588.681,195565868.324,0.097177280,0.098388589,0.195565868,44928610,0.067017522
14.522434,113761057812,1452359108785,97206601.798,97740911.546,194947513.344,0.097206602,0.097740912,0.194947513,48074338,0.100525905
14.772789,113763850444,1452362171017,89237456.480,97852418.375,187089874.856,0.089237456,0.097852418,0.187089875,50171490,0.067013667
15.023134,113766054415,1452365240051,70429878.773,98073746.239,168503625.012,0.070429879,0.098073746,0.168503625,52268642,0.067016381
15.273478,113768265085,1452368310020,70644306.899,98104118.755,168748425.654,0.070644307,0.098104119,0.168748426,54365794,0.067016719
15.523815,113770353670,1452371375856,66744629.969,97974508.754,164719138.722,0.066744630,0.097974509,0.164719139,56045508,0.053678394
15.774137,113770422276,1452374445869,2192565.248,98113923.209,100306488.457,0.002192565,0.098113923,0.100306488,56045508,0.000000000
16.024476,113770495436,1452377523744,2337952.253,98358731.400,100696683.653,0.002337952,0.098358731,0.100696684,56045508,0.000000000
16.274808,113770590583,1452380603701,3040665.910,98427908.977,101468574.887,0.003040666,0.098427909,0.101468575,56045508,0.000000000
